18 Electron Rule	<font size=5>\n18 Electron Rule\n</font><br>\n18 电子则\n
Mazout	<font size=5>\nMazout\n</font><br>\n重油\n
Meal	<font size=5>\nMeal\n</font><br>\n粉状物\n
Mean Activity	<font size=5>\nMean Activity\n</font><br>\n平均活度\n
Mean Boiling Point	<font size=5>\nMean Boiling Point\n</font><br>\n平均沸点\n
Mean Degree Of Polymerization	<font size=5>\nMean Degree Of Polymerization\n</font><br>\n平均聚合度\n
Mean Deviation	<font size=5>\nMean Deviation\n</font><br>\n平均偏差\n
Mean Dispersion	<font size=5>\nMean Dispersion\n</font><br>\n平均分散\n
Mean Error	<font size=5>\nMean Error\n</font><br>\n平均误差\n
Mean Free Path	<font size=5>\nMean Free Path\n</font><br>\n平均自由程\n
Mean Life	<font size=5>\nMean Life\n</font><br>\n平均寿命\n
Mean Temperature Difference	<font size=5>\nMean Temperature Difference\n</font><br>\n均温差\n
Mean Value	<font size=5>\nMean Value\n</font><br>\n平均值\n
Measurable Set	<font size=5>\nMeasurable Set\n</font><br>\n可测集\n
Measurement	<font size=5>\nMeasurement\n</font><br>\n测定\n
Measurement Deviation	<font size=5>\nMeasurement Deviation\n</font><br>\n测定偏差\n
Measurement Error	<font size=5>\nMeasurement Error\n</font><br>\n测量误差\n
Measurement Of Molecular Weight	<font size=5>\nMeasurement Of Molecular Weight\n</font><br>\n分子量测定\n
Measurement Of Radioactivity	<font size=5>\nMeasurement Of Radioactivity\n</font><br>\n放射能测定\n
Measuring	<font size=5>\nMeasuring\n</font><br>\n测定\n
Measuring Accuracy	<font size=5>\nMeasuring Accuracy\n</font><br>\n测量精度\n
Measuring Apparatus	<font size=5>\nMeasuring Apparatus\n</font><br>\n计量仪器\n
Measuring Bottle	<font size=5>\nMeasuring Bottle\n</font><br>\n量瓶\n
Measuring Cylinder	<font size=5>\nMeasuring Cylinder\n</font><br>\n量筒\n
Measuring Flask	<font size=5>\nMeasuring Flask\n</font><br>\n量瓶\n
Measuring Glass	<font size=5>\nMeasuring Glass\n</font><br>\n量杯\n
Measuring Instrument	<font size=5>\nMeasuring Instrument\n</font><br>\n计量仪器\n
Measuring Pipet	<font size=5>\nMeasuring Pipet\n</font><br>\n莫尔吸量管\n
Measuring Tank	<font size=5>\nMeasuring Tank\n</font><br>\n量槽\n
Mecazine	<font size=5>\nMecazine\n</font><br>\n密哌嗪\n
Mechanical Draft	<font size=5>\nMechanical Draft\n</font><br>\n机械通风\n
Mechanical Energy	<font size=5>\nMechanical Energy\n</font><br>\n机械能\n
Mechanical Equivalent Of Heat	<font size=5>\nMechanical Equivalent Of Heat\n</font><br>\n热功当量\n
Mechanical Impedance	<font size=5>\nMechanical Impedance\n</font><br>\n机械阻抗\n
Mechanical Mixture	<font size=5>\nMechanical Mixture\n</font><br>\n机械混合物\n
Mechanical Properties	<font size=5>\nMechanical Properties\n</font><br>\n机械性能\n
Mechanical Pulp	<font size=5>\nMechanical Pulp\n</font><br>\n机碎木浆\n
Mechanical Rectifier	<font size=5>\nMechanical Rectifier\n</font><br>\n机械整流\n
Mechanical Scrubber	<font size=5>\nMechanical Scrubber\n</font><br>\n机械滤净器\n
Mechanical Test	<font size=5>\nMechanical Test\n</font><br>\n机械试验\n
Mechanical Weathering	<font size=5>\nMechanical Weathering\n</font><br>\n机械风化\n
Mechanization	<font size=5>\nMechanization\n</font><br>\n机械化\n
Mechanochemistry	<font size=5>\nMechanochemistry\n</font><br>\n机械化学\n
Meconic Acid	<font size=5>\nMeconic Acid\n</font><br>\n袂康酸\n
Meconine	<font size=5>\nMeconine\n</font><br>\n袂康宁\n
Meconium	<font size=5>\nMeconium\n</font><br>\n鸦片\n
Mediasilicic Rock	<font size=5>\nMediasilicic Rock\n</font><br>\n中硅质岩\n
Medical Chemistry	<font size=5>\nMedical Chemistry\n</font><br>\n医化学\n
Medical Durable Yeast	<font size=5>\nMedical Durable Yeast\n</font><br>\n医药耐久酵母\n
Medicated Soap	<font size=5>\nMedicated Soap\n</font><br>\n药用皂\n
Medium	<font size=5>\nMedium\n</font><br>\n介质\n
Medium Boiler	<font size=5>\nMedium Boiler\n</font><br>\n中沸溶剂\n
Medium Oil	<font size=5>\nMedium Oil\n</font><br>\n中油\n
Medium Oil Varnish	<font size=5>\nMedium Oil Varnish\n</font><br>\n中油清漆\n
Medium Tone	<font size=5>\nMedium Tone\n</font><br>\n中间色调\n
Meker Burner	<font size=5>\nMeker Burner\n</font><br>\n梅克尔灯\n
Melamine	<font size=5>\nMelamine\n</font><br>\n蜜胺\n
Melamine Resin	<font size=5>\nMelamine Resin\n</font><br>\n蜜胺尸\n
Melamine Resin Varnish	<font size=5>\nMelamine Resin Varnish\n</font><br>\n三聚氰胺尸清漆\n
Melanin	<font size=5>\nMelanin\n</font><br>\n黑素\n
Melanogen	<font size=5>\nMelanogen\n</font><br>\n黑素原\n
Melibiase	<font size=5>\nMelibiase\n</font><br>\n蜜二糖酶\n
Melibiose	<font size=5>\nMelibiose\n</font><br>\n蜜二糖\n
Melinite	<font size=5>\nMelinite\n</font><br>\n苦味酸\n
Melissic Acid	<font size=5>\nMelissic Acid\n</font><br>\n蜂花酸\n
Melissyl Alcohol	<font size=5>\nMelissyl Alcohol\n</font><br>\n蜂花醇\n
Melitose	<font size=5>\nMelitose\n</font><br>\n棉子糖\n
Mellic Acid	<font size=5>\nMellic Acid\n</font><br>\n苯六酸\n
Mellitate	<font size=5>\nMellitate\n</font><br>\n苯六甲酸酯\n
Mellophanic Acid	<font size=5>\nMellophanic Acid\n</font><br>\n苯偏四甲酸\n
Melt	<font size=5>\nMelt\n</font><br>\n溶融物\n
Melting	<font size=5>\nMelting\n</font><br>\n熔融\n
Melting Heat	<font size=5>\nMelting Heat\n</font><br>\n熔化热\n
Melting Method	<font size=5>\nMelting Method\n</font><br>\n熔融法\n
Melting Point	<font size=5>\nMelting Point\n</font><br>\n熔点\n
Melting Point Diagram	<font size=5>\nMelting Point Diagram\n</font><br>\n熔点线图\n
Melting Zone	<font size=5>\nMelting Zone\n</font><br>\n熔化带\n
Melt Spinning	<font size=5>\nMelt Spinning\n</font><br>\n熔体纺丝\n
Melt Spinning Device	<font size=5>\nMelt Spinning Device\n</font><br>\n熔融纺丝装置\n
Melt Viscosity	<font size=5>\nMelt Viscosity\n</font><br>\n熔解粘度\n
Membrane	<font size=5>\nMembrane\n</font><br>\n隔膜\n
Membrane Electrode	<font size=5>\nMembrane Electrode\n</font><br>\n膜电极\n
Membrane Equilibrium	<font size=5>\nMembrane Equilibrium\n</font><br>\n膜平衡\n
Membrane Filter	<font size=5>\nMembrane Filter\n</font><br>\n薄膜过滤器\n
Membrane Potential	<font size=5>\nMembrane Potential\n</font><br>\n膜电位\n
Membrane Simulation	<font size=5>\nMembrane Simulation\n</font><br>\n膜模拟\n
Memory	<font size=5>\nMemory\n</font><br>\n存储器\n
Menadiole	<font size=5>\nMenadiole\n</font><br>\n甲萘二酚\n
Menadione	<font size=5>\nMenadione\n</font><br>\n甲萘醌\n
Mendelevium	<font size=5>\nMendelevium\n</font><br>\n钔\n
Mendelev Periodic Law Of Elements	<font size=5>\nMendelev Periodic Law Of Elements\n</font><br>\n门捷列夫元素周期律\n
Meniscus	<font size=5>\nMeniscus\n</font><br>\n弯液面\n
Menshutkin Reaction	<font size=5>\nMenshutkin Reaction\n</font><br>\n门秀金反应\n
Menthadiene	<font size=5>\nMenthadiene\n</font><br>\n薄荷二烯\n
Menthane	<font size=5>\nMenthane\n</font><br>\n薄荷烷\n
Menthol	<font size=5>\nMenthol\n</font><br>\n薄荷醇\n
Menthone	<font size=5>\nMenthone\n</font><br>\n薄荷酮\n
Menthyl Acetate	<font size=5>\nMenthyl Acetate\n</font><br>\n三萜醇乙酸酯\n
Mepazine	<font size=5>\nMepazine\n</font><br>\n密哌嗪\n
Mephobarbital	<font size=5>\nMephobarbital\n</font><br>\n普罗米那\n
Mephosfolan	<font size=5>\nMephosfolan\n</font><br>\n二噻磷\n
Meralluride	<font size=5>\nMeralluride\n</font><br>\n汞鲁来\n
Merbromin	<font size=5>\nMerbromin\n</font><br>\n汞溴红\n
Mercaptal	<font size=5>\nMercaptal\n</font><br>\n缩硫醛\n
Mercaptan	<font size=5>\nMercaptan\n</font><br>\n硫醇\n
Mercaptide	<font size=5>\nMercaptide\n</font><br>\n硫醇盐\n
Mercaptobenzothiazole	<font size=5>\nMercaptobenzothiazole\n</font><br>\n巯基苯并噻唑\n
Mercaptoethanol	<font size=5>\nMercaptoethanol\n</font><br>\n巯基乙醇\n
Mercaptol	<font size=5>\nMercaptol\n</font><br>\n缩硫醇\n
Mercaptopurine	<font size=5>\nMercaptopurine\n</font><br>\n巯基嘌呤\n
Mercaptothiazoline	<font size=5>\nMercaptothiazoline\n</font><br>\n巯基噻唑啉\n
Mercerization	<font size=5>\nMercerization\n</font><br>\n丝光处理\n
Mercerizing Assistant	<font size=5>\nMercerizing Assistant\n</font><br>\n丝光加工助剂\n
Mercerizing Machine	<font size=5>\nMercerizing Machine\n</font><br>\n丝光处理机\n
Mercocresol	<font size=5>\nMercocresol\n</font><br>\n汞甲酚剂\n
Mercuration	<font size=5>\nMercuration\n</font><br>\n汞化\n
Mercurial Barometer	<font size=5>\nMercurial Barometer\n</font><br>\n水银气压计\n
Mercurial Column	<font size=5>\nMercurial Column\n</font><br>\n水银柱\n
Mercurial Ointment	<font size=5>\nMercurial Ointment\n</font><br>\n汞制油膏\n
Mercuric Arsenate	<font size=5>\nMercuric Arsenate\n</font><br>\n砷酸汞\n
Mercuric Chloride	<font size=5>\nMercuric Chloride\n</font><br>\n氯化正汞\n
Mercuric Compound	<font size=5>\nMercuric Compound\n</font><br>\n正汞化合物\n
Mercuric Cyanide	<font size=5>\nMercuric Cyanide\n</font><br>\n氰化汞\n
Mercuric Fluoride	<font size=5>\nMercuric Fluoride\n</font><br>\n氟化汞\n
Mercuric Nitrate	<font size=5>\nMercuric Nitrate\n</font><br>\n硝酸汞\n
Mercuric Oleate	<font size=5>\nMercuric Oleate\n</font><br>\n油酸汞\n
Mercuric Oxide	<font size=5>\nMercuric Oxide\n</font><br>\n氧化汞\n
Mercuric Oxide Electrode	<font size=5>\nMercuric Oxide Electrode\n</font><br>\n氧化汞电极\n
Mercuric Salt	<font size=5>\nMercuric Salt\n</font><br>\n正汞盐\n
Mercuric Stearate	<font size=5>\nMercuric Stearate\n</font><br>\n硬脂酸汞\n
Mercuric Sulfate	<font size=5>\nMercuric Sulfate\n</font><br>\n硫酸汞\n
Mercuric Sulfide	<font size=5>\nMercuric Sulfide\n</font><br>\n硫化汞\n
Mercurimetric Titration	<font size=5>\nMercurimetric Titration\n</font><br>\n汞液滴定法\n
Mercurimetry	<font size=5>\nMercurimetry\n</font><br>\n汞液滴定法\n
Mercurochrome	<font size=5>\nMercurochrome\n</font><br>\n汞溴红\n
Mercurol	<font size=5>\nMercurol\n</font><br>\n核酸汞\n
Mercurometric Titration	<font size=5>\nMercurometric Titration\n</font><br>\n亚汞滴定法\n
Mercurometry	<font size=5>\nMercurometry\n</font><br>\n亚汞滴定法\n
Mercurous Nitrate	<font size=5>\nMercurous Nitrate\n</font><br>\n硝酸亚汞\n
Mercurous Salt	<font size=5>\nMercurous Salt\n</font><br>\n亚汞盐\n
Mercury	<font size=5>\nMercury\n</font><br>\n汞\n
Mercury Arc Rectifier	<font size=5>\nMercury Arc Rectifier\n</font><br>\n汞汽整流\n
Mercury Bridge	<font size=5>\nMercury Bridge\n</font><br>\n水银电桥\n
Mercury Cathode Cell	<font size=5>\nMercury Cathode Cell\n</font><br>\n汞阴极电池\n
Mercury Cell	<font size=5>\nMercury Cell\n</font><br>\n水银电池\n
Mercury Chloride	<font size=5>\nMercury Chloride\n</font><br>\n氯化汞\n
Mercury Cyanide	<font size=5>\nMercury Cyanide\n</font><br>\n氰化汞\n
Mercury Electrode	<font size=5>\nMercury Electrode\n</font><br>\n水银电极\n
Mercury Fulminate	<font size=5>\nMercury Fulminate\n</font><br>\n雷酸汞\n
Mercury Iodide	<font size=5>\nMercury Iodide\n</font><br>\n碘化汞\n
Mercury Lamp	<font size=5>\nMercury Lamp\n</font><br>\n水银灯\n
Mercury Manometer	<font size=5>\nMercury Manometer\n</font><br>\n水银压力计\n
Mercury Nitrate	<font size=5>\nMercury Nitrate\n</font><br>\n硝酸汞\n
Mercury Oxide	<font size=5>\nMercury Oxide\n</font><br>\n氧化汞\n
Mercury Pool	<font size=5>\nMercury Pool\n</font><br>\n水银槽\n
Mercury Process	<font size=5>\nMercury Process\n</font><br>\n水银法\n
Mercury Pump	<font size=5>\nMercury Pump\n</font><br>\n水银真空泵\n
Mercury Rash	<font size=5>\nMercury Rash\n</font><br>\n汞皮疹\n
Mercury Thermometer	<font size=5>\nMercury Thermometer\n</font><br>\n水银温度表\n
Mercury Vapour Rectifier	<font size=5>\nMercury Vapour Rectifier\n</font><br>\n汞汽整流\n
Mercury Volumeter	<font size=5>\nMercury Volumeter\n</font><br>\n汞容积计\n
Meromyosin	<font size=5>\nMeromyosin\n</font><br>\n酶解肌球蛋白\n
Meroplankton	<font size=5>\nMeroplankton\n</font><br>\n暂时性浮游生物\n
Mesaconic Acid	<font size=5>\nMesaconic Acid\n</font><br>\n甲基反丁烯二酸\n
Mescaline	<font size=5>\nMescaline\n</font><br>\n墨斯卡灵\n
Mesh	<font size=5>\nMesh\n</font><br>\n筛眼\n
Mesitylene	<font size=5>\nMesitylene\n</font><br>\n均三甲基苯\n
Mesityl Oxide	<font size=5>\nMesityl Oxide\n</font><br>\n异丙叉丙酮\n
Mesobilirubin	<font size=5>\nMesobilirubin\n</font><br>\n中胆红素\n
Mesobilirubinogen	<font size=5>\nMesobilirubinogen\n</font><br>\n中胆红原\n
Mesobiliverdin	<font size=5>\nMesobiliverdin\n</font><br>\n中胆绿素\n
Mesochemistry	<font size=5>\nMesochemistry\n</font><br>\n介子化学\n
Mesocolloid	<font size=5>\nMesocolloid\n</font><br>\n近胶体\n
Meso Form	<font size=5>\nMeso Form\n</font><br>\n内消旋式\n
Mesomeric Effect	<font size=5>\nMesomeric Effect\n</font><br>\n内消旋效应\n
Mesomerism	<font size=5>\nMesomerism\n</font><br>\n稳变异构\n
Mesomorphic Phase	<font size=5>\nMesomorphic Phase\n</font><br>\n中间相\n
Mesomorphism	<font size=5>\nMesomorphism\n</font><br>\n液晶态\n
Meson	<font size=5>\nMeson\n</font><br>\n介子\n
Mesophase	<font size=5>\nMesophase\n</font><br>\n中间相\n
Mesorcin	<font size=5>\nMesorcin\n</font><br>\n均三甲苯二酚\n
Mesotartaric Acid	<font size=5>\nMesotartaric Acid\n</font><br>\n内消旋酒石酸\n
Mesothorium	<font size=5>\nMesothorium\n</font><br>\n新钍\n
Mesoxalic Acid	<font size=5>\nMesoxalic Acid\n</font><br>\n中草酸\n
Mesoxalylurea	<font size=5>\nMesoxalylurea\n</font><br>\n中草酰脲\n
Messenger Ribonucleic Acid	<font size=5>\nMessenger Ribonucleic Acid\n</font><br>\n信使核糖核酸\n
Meta Acid	<font size=5>\nMeta Acid\n</font><br>\n偏酸\n
Metaarsenic Acid	<font size=5>\nMetaarsenic Acid\n</font><br>\n偏砷酸\n
Metabiosis	<font size=5>\nMetabiosis\n</font><br>\n后继共生\n
Metabolism	<font size=5>\nMetabolism\n</font><br>\n代谢酌\n
Metabolite	<font size=5>\nMetabolite\n</font><br>\n代谢物\n
Metaboric Acid	<font size=5>\nMetaboric Acid\n</font><br>\n偏硼酸\n
Metachemistry	<font size=5>\nMetachemistry\n</font><br>\n超化学\n
Metachromasia	<font size=5>\nMetachromasia\n</font><br>\n异染色\n
Metachromasy	<font size=5>\nMetachromasy\n</font><br>\n异染色\n
Metachromatic Stain	<font size=5>\nMetachromatic Stain\n</font><br>\n异染性染料\n
Metachromatism	<font size=5>\nMetachromatism\n</font><br>\n变色现象\n
Metadiazine	<font size=5>\nMetadiazine\n</font><br>\n嘧啶\n
Metaisomerism	<font size=5>\nMetaisomerism\n</font><br>\n位变异构现象\n
Metal Alkyl	<font size=5>\nMetal Alkyl\n</font><br>\n金属烷基\n
Metal Analysis	<font size=5>\nMetal Analysis\n</font><br>\n金属分析\n
Metal Arc	<font size=5>\nMetal Arc\n</font><br>\n金属电弧\n
Metalation	<font size=5>\nMetalation\n</font><br>\n金属化\n
Metal Bath	<font size=5>\nMetal Bath\n</font><br>\n金属浴\n
Metal Carbonyl	<font size=5>\nMetal Carbonyl\n</font><br>\n羰络金属\n
Metal Cluster	<font size=5>\nMetal Cluster\n</font><br>\n金属团簇\n
Metal Complex	<font size=5>\nMetal Complex\n</font><br>\n金属络合盐\n
Metal Complex Dye	<font size=5>\nMetal Complex Dye\n</font><br>\n金属配位染料\n
Metaldehyde	<font size=5>\nMetaldehyde\n</font><br>\n多聚乙醛\n
Metal Encased Brick	<font size=5>\nMetal Encased Brick\n</font><br>\n铁皮砖\n
Metal Film Resistor	<font size=5>\nMetal Film Resistor\n</font><br>\n金属薄膜电阻器\n
Metal Fog	<font size=5>\nMetal Fog\n</font><br>\n金属雾\n
Metal Glass	<font size=5>\nMetal Glass\n</font><br>\n金属玻璃\n
Metal Indicator	<font size=5>\nMetal Indicator\n</font><br>\n金属指示剂\n
Metallic Block Calorimeter	<font size=5>\nMetallic Block Calorimeter\n</font><br>\n金属热量计\n
Metallic Bond	<font size=5>\nMetallic Bond\n</font><br>\n金属键\n
Metallic Complex Salt	<font size=5>\nMetallic Complex Salt\n</font><br>\n金属络合盐\n
Metallic Element	<font size=5>\nMetallic Element\n</font><br>\n金属元素\n
Metallic Luster	<font size=5>\nMetallic Luster\n</font><br>\n金属光泽\n
Metallic Oxide	<font size=5>\nMetallic Oxide\n</font><br>\n金属氧化物\n
Metallic Paint	<font size=5>\nMetallic Paint\n</font><br>\n金属涂料\n
Metallic Poison	<font size=5>\nMetallic Poison\n</font><br>\n金属毒\n
Metallic Powdery Pigment	<font size=5>\nMetallic Powdery Pigment\n</font><br>\n金属粉末颜料\n
Metallic Soap	<font size=5>\nMetallic Soap\n</font><br>\n金属皂\n
Metallic Thermometer	<font size=5>\nMetallic Thermometer\n</font><br>\n金属温度计\n
Metallic Tin	<font size=5>\nMetallic Tin\n</font><br>\n金属锡\n
Metal Line	<font size=5>\nMetal Line\n</font><br>\n液面线\n
Metallocene	<font size=5>\nMetallocene\n</font><br>\n金属茂络合物\n
Metallocycle	<font size=5>\nMetallocycle\n</font><br>\n金属循环物\n
Metalloenzyme	<font size=5>\nMetalloenzyme\n</font><br>\n金属酶\n
Metallography	<font size=5>\nMetallography\n</font><br>\n金属学\n
Metalloid	<font size=5>\nMetalloid\n</font><br>\n类金属\n
Metalloid Element	<font size=5>\nMetalloid Element\n</font><br>\n类金属元素\n
Metalloprotein	<font size=5>\nMetalloprotein\n</font><br>\n金属蛋白质\n
Metallurgical Chemistry	<font size=5>\nMetallurgical Chemistry\n</font><br>\n冶金化学\n
Metallurgical Coke	<font size=5>\nMetallurgical Coke\n</font><br>\n冶金焦\n
Metallurgical Microscope	<font size=5>\nMetallurgical Microscope\n</font><br>\n冶金显微镜\n
Metallurgy	<font size=5>\nMetallurgy\n</font><br>\n冶金\n
Metal Mist	<font size=5>\nMetal Mist\n</font><br>\n金属雾\n
Metal Nonmetal Transition	<font size=5>\nMetal Nonmetal Transition\n</font><br>\n金属非金属过渡\n
Metal Plating	<font size=5>\nMetal Plating\n</font><br>\n金属镀层\n
Metal Spray Gun	<font size=5>\nMetal Spray Gun\n</font><br>\n金属喷雾器\n
Metal Spraying	<font size=5>\nMetal Spraying\n</font><br>\n金属喷涂\n
Metamer	<font size=5>\nMetamer\n</font><br>\n位变异构体\n
Metamerism	<font size=5>\nMetamerism\n</font><br>\n位变异构性\n
Metamorphic Deposit	<font size=5>\nMetamorphic Deposit\n</font><br>\n变质矿床\n
Metamorphic Rock	<font size=5>\nMetamorphic Rock\n</font><br>\n变质岩\n
Metamorphism	<font size=5>\nMetamorphism\n</font><br>\n变形现象\n
Metanilic Acid	<font size=5>\nMetanilic Acid\n</font><br>\n间氨基苯磺酸\n
Metanil Yellow	<font size=5>\nMetanil Yellow\n</font><br>\n间胺黄\n
Metaphosphate	<font size=5>\nMetaphosphate\n</font><br>\n偏磷酸盐\n
Metaphosphoric Acid	<font size=5>\nMetaphosphoric Acid\n</font><br>\n偏磷酸\n
Metaprotein	<font size=5>\nMetaprotein\n</font><br>\n变性蛋白\n
Metasilicate	<font size=5>\nMetasilicate\n</font><br>\n偏硅酸盐\n
Metasilicic Acid	<font size=5>\nMetasilicic Acid\n</font><br>\n偏硅酸\n
Metastable Atom	<font size=5>\nMetastable Atom\n</font><br>\n亚稳原子\n
Metastable Equilibrium	<font size=5>\nMetastable Equilibrium\n</font><br>\n亚稳定平衡\n
Metastable Ion	<font size=5>\nMetastable Ion\n</font><br>\n亚稳定离子\n
Metastable Phase	<font size=5>\nMetastable Phase\n</font><br>\n亚稳相\n
Metastable State	<font size=5>\nMetastable State\n</font><br>\n亚稳状态\n
Metastannic Acid	<font size=5>\nMetastannic Acid\n</font><br>\n偏锡酸\n
Metathesis	<font size=5>\nMetathesis\n</font><br>\n复分解\n
Metathetical Salts	<font size=5>\nMetathetical Salts\n</font><br>\n复分解盐\n
Meteoric Iron	<font size=5>\nMeteoric Iron\n</font><br>\n铁陨石\n
Meteorite	<font size=5>\nMeteorite\n</font><br>\n陨石\n
Metering Pump	<font size=5>\nMetering Pump\n</font><br>\n计量泵\n
Meter Oil	<font size=5>\nMeter Oil\n</font><br>\n仪泼油\n
Methabenzthiazuron	<font size=5>\nMethabenzthiazuron\n</font><br>\n噻唑隆\n
Methacrylic Acid	<font size=5>\nMethacrylic Acid\n</font><br>\n异丁烯酸\n
Methacrylonitrile	<font size=5>\nMethacrylonitrile\n</font><br>\n异丁烯腈\n
Methadone	<font size=5>\nMethadone\n</font><br>\n美沙酮\n
Methallyl Alcohol	<font size=5>\nMethallyl Alcohol\n</font><br>\n甲代烯丙醇\n
Methanal	<font size=5>\nMethanal\n</font><br>\n甲醛\n
Methane	<font size=5>\nMethane\n</font><br>\n甲烷\n
Methanoic Acid	<font size=5>\nMethanoic Acid\n</font><br>\n甲酸\n
Methanol	<font size=5>\nMethanol\n</font><br>\n甲醇\n
Methanolysis	<font size=5>\nMethanolysis\n</font><br>\n甲醇分解\n
Methanthiol	<font size=5>\nMethanthiol\n</font><br>\n甲硫醇\n
Methemoglobin	<font size=5>\nMethemoglobin\n</font><br>\n正铁血红蛋白\n
Methene	<font size=5>\nMethene\n</font><br>\n甲叉\n
Methidathion	<font size=5>\nMethidathion\n</font><br>\n杀扑磷\n
Methide	<font size=5>\nMethide\n</font><br>\n甲基化物\n
Methionine	<font size=5>\nMethionine\n</font><br>\n甲硫氨酸\n
Method Of Least Squares	<font size=5>\nMethod Of Least Squares\n</font><br>\n最小二乘法\n
Method Of Spin Labeling	<font size=5>\nMethod Of Spin Labeling\n</font><br>\n自旋标记法\n
Method Of Steady State	<font size=5>\nMethod Of Steady State\n</font><br>\n定常状态法\n
Method Of Steepest Descent	<font size=5>\nMethod Of Steepest Descent\n</font><br>\n最陡下降法\n
Method Of Substitution	<font size=5>\nMethod Of Substitution\n</font><br>\n取代法\n
Methoxide	<font size=5>\nMethoxide\n</font><br>\n甲醇盐\n
Methoxyacetic Acid	<font size=5>\nMethoxyacetic Acid\n</font><br>\n甲氧基乙酸\n
Methoxybenzene	<font size=5>\nMethoxybenzene\n</font><br>\n茴香醚\n
Methoxychlor	<font size=5>\nMethoxychlor\n</font><br>\n甲氧氯\n
Methoxyl Group	<font size=5>\nMethoxyl Group\n</font><br>\n甲氧基\n
Methyl Acetate	<font size=5>\nMethyl Acetate\n</font><br>\n醋酸甲酯\n
Methyl Acetone	<font size=5>\nMethyl Acetone\n</font><br>\n甲基丙酮\n
Methylacetylene	<font size=5>\nMethylacetylene\n</font><br>\n丙炔\n
Methyl Acrylate	<font size=5>\nMethyl Acrylate\n</font><br>\n丙烯酸甲酯\n
Methylal	<font size=5>\nMethylal\n</font><br>\n甲缩醛\n
Methyl Alcohol	<font size=5>\nMethyl Alcohol\n</font><br>\n甲醇\n
Methylallyl Chloride	<font size=5>\nMethylallyl Chloride\n</font><br>\n甲代烯丙基氯\n
Methylamine	<font size=5>\nMethylamine\n</font><br>\n甲胺\n
Methylate	<font size=5>\nMethylate\n</font><br>\n甲醇盐\n
Methylated Alcohol	<font size=5>\nMethylated Alcohol\n</font><br>\n甲基化酒精\n
Methylating Agent	<font size=5>\nMethylating Agent\n</font><br>\n甲基化剂\n
Methylation	<font size=5>\nMethylation\n</font><br>\n甲基化酌\n
Methylbenzene	<font size=5>\nMethylbenzene\n</font><br>\n甲苯\n
Methyl Benzoate	<font size=5>\nMethyl Benzoate\n</font><br>\n苯甲酸甲酯\n
Methyl Blue	<font size=5>\nMethyl Blue\n</font><br>\n甲基蓝\n
Methyl Borate	<font size=5>\nMethyl Borate\n</font><br>\n硼酸甲酯\n
Methylbutynol	<font size=5>\nMethylbutynol\n</font><br>\n甲基丁炔醇\n
Methyl Cellulose	<font size=5>\nMethyl Cellulose\n</font><br>\n甲基纤维素\n
Methyl Chloride	<font size=5>\nMethyl Chloride\n</font><br>\n甲基氯\n
Methylcyclohexane	<font size=5>\nMethylcyclohexane\n</font><br>\n甲基环己烷;甲基溶纤剂\n
Methylcyclohexanol	<font size=5>\nMethylcyclohexanol\n</font><br>\n甲基环己醇\n
Methylcyclohexanone	<font size=5>\nMethylcyclohexanone\n</font><br>\n甲基环己酮\n
Methylcyclopentane	<font size=5>\nMethylcyclopentane\n</font><br>\n甲基环戊烷\n
Methylene	<font size=5>\nMethylene\n</font><br>\n甲叉\n
Methyleneaniline	<font size=5>\nMethyleneaniline\n</font><br>\n亚甲基氨苯\n
Methylene Blue	<font size=5>\nMethylene Blue\n</font><br>\n亚甲蓝\n
Methylene Chloride	<font size=5>\nMethylene Chloride\n</font><br>\n二氯甲烷\n
Methyl Ethyl Diketone	<font size=5>\nMethyl Ethyl Diketone\n</font><br>\n乙酰丙酮\n
Methyl Ethyl Ketone	<font size=5>\nMethyl Ethyl Ketone\n</font><br>\n丁酮\n
Methylfumaric Acid	<font size=5>\nMethylfumaric Acid\n</font><br>\n甲基反丁烯二酸\n
Methyl Furan	<font size=5>\nMethyl Furan\n</font><br>\n甲基呋喃\n
Methylglyoxal	<font size=5>\nMethylglyoxal\n</font><br>\n丙酮醛\n
Methyl Iodide	<font size=5>\nMethyl Iodide\n</font><br>\n甲基碘\n
Methylisobutylketone	<font size=5>\nMethylisobutylketone\n</font><br>\n甲基异丁酮\n
Methyl Mercaptan	<font size=5>\nMethyl Mercaptan\n</font><br>\n甲硫醇\n
Methyl Methacrylate	<font size=5>\nMethyl Methacrylate\n</font><br>\n甲基丙烯酸甲酯\n
Methyl Myristate	<font size=5>\nMethyl Myristate\n</font><br>\n十四烷酸甲酯\n
Methylnaphthalene	<font size=5>\nMethylnaphthalene\n</font><br>\n甲基萘\n
Methyl Nitrate	<font size=5>\nMethyl Nitrate\n</font><br>\n硝酸甲酯\n
Methylol	<font size=5>\nMethylol\n</font><br>\n亚甲醇\n
Methylolurea	<font size=5>\nMethylolurea\n</font><br>\n羟甲基脲\n
Methyl Orange	<font size=5>\nMethyl Orange\n</font><br>\n甲基橙\n
Methyl Parathion	<font size=5>\nMethyl Parathion\n</font><br>\n甲基对硫磷\n
Methylpentene	<font size=5>\nMethylpentene\n</font><br>\n甲基戊烯\n
Methylphenol	<font size=5>\nMethylphenol\n</font><br>\n甲酚\n
Methyl Piperazine	<font size=5>\nMethyl Piperazine\n</font><br>\n甲基哌嗪\n
